YEAR,MONTH,DAY,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_1,SP_CODE_2,SP_CODE_3,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,DEPTH @ 0 M,DEPTH @ 40 M,VISIBILITY,TEMP,SP_CODE_0,SP_CODE_4,SP_CODE_5
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,35,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,35,O,COTR,PAPA,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,36,I,,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,36,O,,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,37,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,37,O,COTR,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,38,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,38,O,SL,,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,39,I,COTR,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,39,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,40,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,40,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,1,I,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,1,O,GRAM,,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,2,I,COTR,CF,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,2,O,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,3,I,BOVI,COTR,ASPO,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,3,O,SL,COTR,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,4,I,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,4,O,SL,COTR,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,5,I,SL,COTR,CF,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,5,O,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,6,I,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,6,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,7,I,,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,7,O,CF,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,8,I,ASPO,COTR,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,8,O,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,9,I,ASPO,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,9,O,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,10,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,10,O,PAPA,COTR,ASPO,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,11,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,11,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,12,I,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,12,O,COTR,,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,13,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,13,O,COTR,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,14,I,COF,SL,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,14,O,COTR,PAPA,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,15,I,COTR,SL,ASPO,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,15,O,,,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,16,I,SL,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,16,O,SL,COTR,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,17,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,17,O,SL,PAPA,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,18,I,HIRU,,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,18,O,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,19,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,19,O,SL,COTR,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,20,I,SL,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,20,O,ASPO,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,21,I,SL,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,21,O,SL,COTR,,BS,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,22,I,ASPO,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,22,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,23,I,SL,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,23,O,HYDI,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,24,I,COTR,CYPU,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,24,O,SL,COTR,,C,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,25,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,25,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,26,I,SL,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,26,O,,,,SH,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,27,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,27,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,28,I,COTR,SL,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,28,O,PAPA,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,29,I,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,29,O,SL,COTR,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,30,I,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,30,O,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,31,I,SL,,,S,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,31,O,COTR,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,2,32,I,RAT,,,B,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,9.666666667,6.333333333,0.666666667,,,,
